Drug1_ID,Drug2_ID,Label
DB09047,DB06813,0
DB00350,DB03793,0
DB01325,DB01189,0
DB00722,DB00280,0
DB01591,DB00920,0
DB00288,DB01613,0
DB12070,DB00795,0
DB06147,DB00805,0
DB00766,DB01413,0
DB01058,DB01115,0
DB08795,DB01107,0
DB01215,DB00301,0
DB00562,DB00480,0
DB01627,DB00903,0
DB00276,DB01407,0
DB01111,DB06707,0
DB09069,DB06718,0
DB06764,DB00203,0
DB01193,DB06212,0
DB00964,DB09278,0
DB11737,DB01057,0
DB01090,DB00788,0
DB13874,DB09143,0
DB06154,DB00800,0
DB06218,DB01107,0
DB09185,DB01214,0
DB00163,DB13231,0
DB01621,DB06605,0
DB01143,DB11256,0
DB09225,DB00779,0
DB00323,DB00619,0
DB00163,DB00371,0
DB00637,DB00177,0
DB01223,DB11235,0
DB13145,DB01243,0
DB09124,DB08875,0
DB01409,DB01185,0
DB00244,DB01122,0
DB06016,DB01188,0
DB01233,DB04711,0
DB04839,DB00674,0
DB08798,DB09076,0
DB04846,DB01185,0
DB00704,DB00883,0
DB00708,DB01067,0
DB00613,DB11994,0
DB00263,DB09218,0
DB11268,DB01172,0
DB00925,DB01327,0
DB08981,DB00954,0
DB06261,DB00247,0
DB01275,DB00593,0
DB01576,DB06810,0
DB00307,DB01057,0
DB03793,DB00308,0
DB01156,DB00581,0
DB01407,DB00305,0
DB00695,DB09244,0
DB01436,DB06201,0
DB01111,DB00198,0
DB00380,DB00307,0
DB09269,DB00136,0
DB00163,DB00324,0
DB00737,DB01613,0
DB01000,DB09345,0
DB11793,DB01327,0
DB01413,DB00598,0
DB09075,DB08930,0
DB00425,DB09462,0
DB09277,DB01073,0
DB00222,DB09067,0
DB12483,DB08938,0
DB00773,DB08907,0
DB00722,DB01179,0
DB05630,DB01011,0
DB00301,DB00176,0
DB00198,DB00452,0
DB06820,DB05541,0
DB09031,DB08872,0
DB00231,DB08943,0
DB06788,DB09242,0
DB00856,DB09342,0
DB00655,DB00527,0
DB06207,DB01401,0
DB01431,DB00714,0
DB01065,DB00530,0
DB00919,DB00631,0
DB00809,DB00912,0
DB00360,DB12924,0
DB01378,DB00405,0
DB00952,DB00956,0
DB00862,DB01071,0
DB00746,DB01115,0
DB11342,DB00599,0
DB00871,DB09221,0
DB05294,DB01058,0
DB00808,DB00969,0
DB00288,DB09291,0
DB00540,DB01295,0
DB01101,DB01006,0
DB06176,DB01602,0
DB09218,DB01138,0
DB00521,DB01181,0
DB00309,DB08957,0
DB09283,DB00935,0
DB00981,DB04878,0
DB01275,DB00216,0
DB00231,DB00528,0
DB00475,DB00986,0
DB00368,DB04786,0
DB01164,DB00458,0
DB00877,DB03128,0
DB12001,DB01144,0
DB06802,DB09296,0
DB09322,DB00535,0
DB00205,DB01219,0
DB08795,DB09241,0
DB04898,DB06148,0
