"Drug_ID","Segmented_SMILE"
"DB00006","CC[;C[C;[C@;C@H;@H];H](;](C;(C);C)[;)[C;[C@;C@H;@H];H](;](N;(NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(CC;CCC;CC(;C(O;(O);O)=;)=O;=O);O)N;)NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(CC;CCC;CC(;C(O;(O);O)=;)=O;=O);O)N;)NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(CC;CC1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1;C1);1)N;)NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(CC;CC(;C(O;(O);O)=;)=O;=O);O)N;)NC;NC(;C(=;(=O;=O);O)C;)CN;CNC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(CC;CC(;C(N;(N);N)=;)=O;=O);O)N;)NC;NC(;C(=;(=O;=O);O)C;)CN;CNC;NC(;C(=;(=O;=O);O)C;)CN;CNC;NC(;C(=;(=O;=O);O)C;)CN;CNC;NC(;C(=;(=O;=O);O)C;)CN;CNC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@@;@@H;@H];H]1;]1C;1CC;CCC;CCN;CN1;N1C;1C(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(CC;CCC;CCN;CNC;NC(;C(N;(N);N)=;)=N;=N);N)N;)NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@@;@@H;@H];H]1;]1C;1CC;CCC;CCN;CN1;N1C;1C(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](N;(N);N)C;)CC;CC1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1;C1);1)C;)C(;C(=;(=O;=O);O)N;)N1;N1C;1CC;CCC;CC[;C[C;[C@;C@H;@H];H]1;]1C;1C(;C(=;(=O;=O);O)N;)N[;N[C;[C@;C@@;@@H;@H];H](;](C;(CC;CCC;CC(;C(O;(O);O)=;)=O;=O);O)C;)C(;C(=;(=O;=O);O)N;)N[;N[C;[C@;C@@;@@H;@H];H](;](C;(CC;CCC;CC(;C(O;(O);O)=;)=O;=O);O)C;)C(;C(=;(=O;=O);O)N;)N[;N[C;[C@;C@@;@@H;@H];H](;](C;(CC;CC1;C1=;1=C;=CC;CC=;C=C;=C(;C(O;(O);O)C;)C=;C=C;=C1;C1);1)C;)C(;C(=;(=O;=O);O)N;)N[;N[C;[C@;C@@;@@H;@H];H](;](C;(CC;CC(;C(C;(C);C)C;)C);C)C;)C(;C(O;(O);O)=;)=O"
"DB00014","CC(;C(C;(C);C)C;)C[;C[C;[C@;C@H;@H];H](;](N;(NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@@;@@H;@H];H](;](C;(CO;COC;OC(;C(C;(C);C)(;)(C;(C);C)C;)C);C)N;)NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(CC;CC1;C1=;1=C;=CC;CC=;C=C;=C(;C(O;(O);O)C;)C=;C=C;=C1;C1);1)N;)NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(CO;CO);O)N;)NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(CC;CC1;C1=;1=C;=CN;CNC;NC2;C2=;2=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1;C12;12);2)N;)NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(CC;CC1;C1=;1=C;=CN;CN=;N=C;=CN;CN1;N1);1)N;)NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@@;@@H;@H];H]1;]1C;1CC;CCC;CC(;C(=;(=O;=O);O)N;)N1;N1);1)C;)C(;C(=;(=O;=O);O)N;)N[;N[C;[C@;C@@;@@H;@H];H](;](C;(CC;CCC;CCN;CN=;N=C;=C(;C(N;(N);N)N;)N);N)C;)C(;C(=;(=O;=O);O)N;)N1;N1C;1CC;CCC;CC[;C[C;[C@;C@H;@H];H]1;]1C;1C(;C(=;(=O;=O);O)N;)NN;NNC;NC(;C(N;(N);N)=;)=O"
"DB00027","CC(;C(C;(C);C)C;)C[;C[C;[C@;C@@;@@H;@H];H](;](N;(NC;NC(;C(=;(=O;=O);O)C;)CN;CNC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@@;@@H;@H];H](;](N;(NC;NC=;C=O;=O);O)C;)C(;C(C;(C);C)C;)C);C)C;)C(;C(=;(=O;=O);O)N;)N[;N[C;[C@;C@@;@@H;@H];H](;](C;(C);C)C;)C(;C(=;(=O;=O);O)N;)N[;N[C;[C@;C@H;@H];H](;](C;(C(;C(C;(C);C)C;)C);C)C;)C(;C(=;(=O;=O);O)N;)N[;N[C;[C@;C@@;@@H;@H];H](;](C;(C(;C(C;(C);C)C;)C);C)C;)C(;C(=;(=O;=O);O)N;)N[;N[C;[C@;C@H;@H];H](;](C;(C(;C(C;(C);C)C;)C);C)C;)C(;C(=;(=O;=O);O)N;)N[;N[C;[C@;C@@;@@H;@H];H](;](C;(CC;CC1;C1=;1=C;=CN;CNC;NC2;C2=;2=C;=C1;C1C;1C=;C=C;=CC;CC=;C=C;=C2;C2);2)C;)C(;C(=;(=O;=O);O)N;)N[;N[C;[C@;C@H;@H];H](;](C;(CC;CC(;C(C;(C);C)C;)C);C)C;)C(;C(=;(=O;=O);O)N;)N[;N[C;[C@;C@@;@@H;@H];H](;](C;(CC;CC1;C1=;1=C;=CN;CNC;NC2;C2=;2=C;=C1;C1C;1C=;C=C;=CC;CC=;C=C;=C2;C2);2)C;)C(;C(=;(=O;=O);O)N;)N[;N[C;[C@;C@H;@H];H](;](C;(CC;CC(;C(C;(C);C)C;)C);C)C;)C(;C(=;(=O;=O);O)N;)N[;N[C;[C@;C@@;@@H;@H];H](;](C;(CC;CC1;C1=;1=C;=CN;CNC;NC2;C2=;2=C;=C1;C1C;1C=;C=C;=CC;CC=;C=C;=C2;C2);2)C;)C(;C(=;(=O;=O);O)N;)N[;N[C;[C@;C@H;@H];H](;](C;(CC;CC(;C(C;(C);C)C;)C);C)C;)C(;C(=;(=O;=O);O)N;)N[;N[C;[C@;C@@;@@H;@H];H](;](C;(CC;CC1;C1=;1=C;=CN;CNC;NC2;C2=;2=C;=C1;C1C;1C=;C=C;=CC;CC=;C=C;=C2;C2);2)C;)C(;C(=;(=O;=O);O)N;)NC;NCC;CCO"
"DB00035","NC(;C(=;(=O;=O);O)C;)CC;CC[;C[C;[C@;C@@;@@H;@H];H]1;]1N;1NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(CC;CC2;C2=;2=C;=CC;CC=;C=C;=CC;CC=;C=C;=C2;C2);2)N;)NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(CC;CC2;C2=;2=C;=CC;CC=;C=C;=C(;C(O;(O);O)C;)C=;C=C;=C2;C2);2)N;)NC;NC(;C(=;(=O;=O);O)C;)CC;CCS;CSS;SSC;SC[;C[C;[C@;C@H;@H];H](;](N;(NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(CC;CC(;C(N;(N);N)=;)=O;=O);O)N;)NC;NC1;C1=;1=O;=O);O)C;)C(;C(=;(=O;=O);O)N;)N1;N1C;1CC;CCC;CC[;C[C;[C@;C@H;@H];H]1;]1C;1C(;C(=;(=O;=O);O)N;)N[;N[C;[C@;C@H;@H];H](;](C;(CC;CCC;CCN;CNC;NC(;C(N;(N);N)=;)=N;=N);N)C;)C(;C(=;(=O;=O);O)N;)NC;NCC;CC(;C(N;(N);N)=;)=O"
"DB00080","CCC;CCC;CCC;CCC;CCC;CCC;CCC;CCC;CC(;C(=;(=O;=O);O)N;)N[;N[C;[C@;C@@;@@H;@H];H](;](C;(CC;CC1;C1=;1=C;=CN;CNC;NC2;C2=;2=C;=C1;C1C;1C=;C=C;=CC;CC=;C=C;=C2;C2);2)C;)C(;C(=;(=O;=O);O)N;)N[;N[C;[C@;C@H;@H];H](;](C;(CC;CC(;C(N;(N);N)=;)=O;=O);O)C;)C(;C(=;(=O;=O);O)N;)N[;N[C;[C@;C@@;@@H;@H];H](;](C;(CC;CC(;C(O;(O);O)=;)=O;=O);O)C;)C(;C(=;(=O;=O);O)N;)N[;N[C;[C@;C@H;@H];H]1;]1[;1[C;[C@;C@@;@@H;@H];H](;](C;(C);C)O;)OC;OC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(CC;CC(;C(=;(=O;=O);O)C;)C2;C2=;2=C;=CC;CC=;C=C;=CC;CC=;C=C;=C2;C2N;2N);N)N;)NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@@;@@H;@H];H](;](N;(NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@@;@@H;@H];H](;](C;(CO;CO);O)N;)NC;NC(;C(=;(=O;=O);O)C;)CN;CNC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(CC;CC(;C(O;(O);O)=;)=O;=O);O)N;)NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@@;@@H;@H];H](;](C;(C);C)N;)NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(CC;CC(;C(O;(O);O)=;)=O;=O);O)N;)NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(CC;CCC;CCN;CN);N)N;)NC;NC(;C(=;(=O;=O);O)C;)CN;CNC;NC1;C1=;1=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(C);C)C;)CC;CC(;C(O;(O);O)=;)=O"
"DB00091","CC[;C[C;[C@;C@@;@@H;@H];H]1;]1N;1NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;]([;([C;[C@;C@H;@H];H](;](O;(O);O)[;)[C;[C@;C@H;@H];H](;](C;(C);C)C;)C\;C\C;\C=;C=C;=C\;C\C;\C);C)N;)N(;N(C;(C);C)C;)C(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(C(;C(C;(C);C)C;)C);C)N;)N(;N(C;(C);C)C;)C(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(CC;CC(;C(C;(C);C)C;)C);C)N;)N(;N(C;(C);C)C;)C(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(CC;CC(;C(C;(C);C)C;)C);C)N;)N(;N(C;(C);C)C;)C(;C(=;(=O;=O);O)[;)[C;[C@;C@@;@@H;@H];H](;](C;(C);C)N;)NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(C);C)N;)NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(CC;CC(;C(C;(C);C)C;)C);C)N;)N(;N(C;(C);C)C;)C(;C(=;(=O;=O);O)[;)[C;[C@;C@@;@@H;@H];H](;](N;(NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(CC;CC(;C(C;(C);C)C;)C);C)N;)N(;N(C;(C);C)C;)C(;C(=;(=O;=O);O)C;)CN;CN(;N(C;(C);C)C;)C1;C1=;1=O;=O);O)C;)C(;C(C;(C);C)C"
"DB00104","[H];H][;][C;[C@;C@];@]1;]1(;1(N;(NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(CC;CCC;CCC;CCN;CN);N)N;)NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@@;@@H;@H];H](;](C;(CC;CC2;C2=;2=C;=CN;CNC;NC3;C3=;3=C;=C2;C2C;2C=;C=C;=CC;CC=;C=C;=C3;C3);3)N;)NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(CC;CC2;C2=;2=C;=CC;CC=;C=C;=CC;CC=;C=C;=C2;C2);2)N;)NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(CS;CSS;SSC;SC[;C[C;[C@;C@H;@H];H](;](N;(NC;NC1;C1=;1=O;=O);O)C;)C(;C(=;(=O;=O);O)N;)N[;N[C;[C@;C@H;@H];H](;](C;(CO;CO);O)[;)[C;[C@;C@@;@@H;@H];H](;](C;(C);C)O;)O);O)N;)NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](N;(N);N)C;)CC;CC1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1;C1);1)[;)[C;[C@;C@@;@@H;@H];H](;](C;(C);C)O"
"DB00115","C[C;[C@;C@H;@H];H](;](C;(CN;CNC;NC(;C(=;(=O;=O);O)C;)CC;CC[;C[C;[C@;C@];@]1;]1(;1(C;(C);C)[;)[C;[C@;C@@;@@H;@H];H](;](C;(CC;CC(;C(N;(N);N)=;)=O;=O);O)[;)[C;[C@;C@H;@H];H]2;]2N;2N=;N=C;=C1;C1\;1\C;\C(;C(C;(C);C)=;)=C;=C1;C1/;1/N;/N=;N=C;=C(;C(/;(/C;/C=;C=C;=C3;C3\;3\N;\N=;N=C;=C(;C(\;(\C;\C(;C(\;(\C;\C);C)=;)=C;=C4;C4\;4\[;\[C;[C@;C@@;@@H;@H];H](;](C;(CC;CCC;CC(;C(N;(N);N)=;)=O;=O);O)[;)[C;[C@;C@];@](;](C;(C);C)(;)(C;(CC;CC(;C(N;(N);N)=;)=O;=O);O)[;)[C;[C@;C@@;@@];@]2;]2(;2(C;(C);C)N;)N4;N4[;4[C;[Co;Co+;o+];+]C;]C#;C#N;#N);N)[;)[C;[C@;C@@;@@];@](;](C;(C);C)(;)(C;(CC;CC(;C(N;(N);N)=;)=O;=O);O)[;)[C;[C@;C@@;@@H;@H];H]3;]3C;3CC;CCC;CC(;C(N;(N);N)=;)=O;=O);O)C;)C(;C(C;(C);C)(;)(C;(C);C)[;)[C;[C@;C@@;@@H;@H];H]1;]1C;1CC;CCC;CC(;C(N;(N);N)=;)=O;=O);O)O;)OP;OP(;P([;([O;[O-;O-];-]);])(;)(=;(=O;=O);O)O;)O[;O[C;[C@;C@@;@@H;@H];H]1;]1[;1[C;[C@;C@@;@@H;@H];H](;](C;(CO;CO);O)O;)O[;O[C;[C@;C@@;@@H;@H];H](;]([;([C;[C@;C@@;@@H;@H];H]1;]1O;1O);O)N;)N1;N1C;1C=;C=N;=NC;NC2;C2=;2=C;=C1;C1C;1C=;C=C;=C(;C(C;(C);C)C;)C(;C(C;(C);C)=;)=C;=C2"
"DB00120","N[C;[C@;C@@;@@H;@H];H](;](C;(CC;CC1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1;C1);1)C;)C(;C(O;(O);O)=;)=O"
"DB00122","C[N;[N+;N+];+](;](C;(C);C)(;)(C;(C);C)C;)CC;CCO"
