Drug1_ID,Drug1_Name,Drug2_ID,Drug2_Name,Prediction_Score,Predicted_Type_Index,Predicted_Type_Name,Interaction_Translation,True_Type_Index,True_Type_Name,Match
DB01045,Rifampicin,DB01181,Ifosfamide,0.7227182388305664,4,Type_4,The metabolism of Ifosfamide can be increased when combined with Rifampicin.,77,Type_77,No
DB06154,Pentaerythritol tetranitrate,DB09030,Vorapaxar,0.8448987007141113,6,Type_6,Pentaerythritol tetranitrate may increase the anticoagulant activities of Vorapaxar.,49,Type_49,No
DB00633,Dexmedetomidine,DB00794,Primidone,0.7349085807800293,4,Type_4,The metabolism of Primidone can be increased when combined with Dexmedetomidine.,49,Type_49,No
DB00501,Cimetidine,DB01254,Dasatinib,0.7157022953033447,73,Type_73,The serum concentration of Dasatinib can be increased when it is combined with Cimetidine.,67,Type_67,No
DB00612,Bisoprolol,DB00794,Primidone,0.7879684567451477,60,Type_60,Bisoprolol may increase the hypotensive activities of Primidone.,4,Type_4,No
DB06708,Lumefantrine,DB09280,Lumacaftor,0.7063891291618347,75,Type_75,The serum concentration of Lumacaftor can be decreased when it is combined with Lumefantrine.,4,Type_4,No
DB00363,Clozapine,DB01267,Paliperidone,0.7454303503036499,20,Type_20,Clozapine may increase the QTc-prolonging activities of Paliperidone.,49,Type_49,No
DB00751,Epinastine,DB06207,Silodosin,0.7619932293891907,73,Type_73,The serum concentration of Silodosin can be increased when it is combined with Epinastine.,5,Type_5,No
DB00705,Delavirdine,DB00863,Ranitidine,0.8568779230117798,47,Type_47,The metabolism of Ranitidine can be decreased when combined with Delavirdine.,67,Type_67,No
DB00673,Aprepitant,DB01395,Drospirenone,0.9793045520782471,73,Type_73,The serum concentration of Drospirenone can be increased when it is combined with Aprepitant.,75,Type_75,No
DB00929,Misoprostol,DB00936,Salicylic acid,0.7551267743110657,49,Type_49,The risk or severity of adverse effects can be increased when Misoprostol is combined with Salicylic acid.,70,Type_70,No
DB00373,Timolol,DB01242,Clomipramine,0.8882521390914917,47,Type_47,The metabolism of Clomipramine can be decreased when combined with Timolol.,49,Type_49,No
DB00468,Quinine,DB00699,Nicergoline,0.743132472038269,49,Type_49,The risk or severity of adverse effects can be increased when Quinine is combined with Nicergoline.,47,Type_47,No
DB00514,Dextromethorphan,DB00601,Linezolid,0.9726921319961548,64,Type_64,Dextromethorphan may increase the serotonergic activities of Linezolid.,49,Type_49,No
DB00946,Phenprocoumon,DB01101,Capecitabine,0.8094984292984009,47,Type_47,The metabolism of Capecitabine can be decreased when combined with Phenprocoumon.,73,Type_73,No
DB01002,Levobupivacaine,DB01263,Posaconazole,0.8526359796524048,47,Type_47,The metabolism of Posaconazole can be decreased when combined with Levobupivacaine.,73,Type_73,No
DB00359,Sulfadiazine,DB00435,Nitric Oxide,0.9135910868644714,47,Type_47,The metabolism of Nitric Oxide can be decreased when combined with Sulfadiazine.,49,Type_49,No
DB00343,Diltiazem,DB08932,Macitentan,0.9442543983459473,60,Type_60,Diltiazem may increase the hypotensive activities of Macitentan.,47,Type_47,No
DB01110,Miconazole,DB09238,Manidipine,0.7492668032646179,47,Type_47,The metabolism of Manidipine can be decreased when combined with Miconazole.,49,Type_49,No
DB00847,Cysteamine,DB06216,Asenapine,0.9007601141929626,49,Type_49,The risk or severity of adverse effects can be increased when Cysteamine is combined with Asenapine.,70,Type_70,No
DB01224,Quetiapine,DB04948,Lofexidine,0.7699281573295593,60,Type_60,Quetiapine may increase the hypotensive activities of Lofexidine.,49,Type_49,No
DB00206,Reserpine,DB09236,Lacidipine,0.9503346681594849,49,Type_49,The risk or severity of adverse effects can be increased when Reserpine is combined with Lacidipine.,60,Type_60,No
DB01218,Halofantrine,DB06636,Isavuconazonium,0.7827867269515991,47,Type_47,The metabolism of Isavuconazonium can be decreased when combined with Halofantrine.,73,Type_73,No
DB00653,Magnesium sulfate,DB09270,Ubidecarenone,0.8323022723197937,73,Type_73,The serum concentration of Ubidecarenone can be increased when it is combined with Magnesium sulfate.,49,Type_49,No
DB00582,Voriconazole,DB04938,Ospemifene,0.8744807839393616,47,Type_47,The metabolism of Ospemifene can be decreased when combined with Voriconazole.,73,Type_73,No
DB00588,Fluticasone propionate,DB05271,Rotigotine,0.8351230621337891,49,Type_49,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Rotigotine.,32,Type_32,No
DB00976,Telithromycin,DB01126,Dutasteride,0.9530659317970276,47,Type_47,The metabolism of Dutasteride can be decreased when combined with Telithromycin.,73,Type_73,No
DB00264,Metoprolol,DB01074,Perhexiline,0.7534536719322205,60,Type_60,Metoprolol may increase the hypotensive activities of Perhexiline.,73,Type_73,No
DB01149,Nefazodone,DB09262,Imidafenacin,0.9478535056114197,47,Type_47,The metabolism of Imidafenacin can be decreased when combined with Nefazodone.,73,Type_73,No
DB01589,Quazepam,DB04871,Lorcaserin,0.8365226984024048,47,Type_47,The metabolism of Lorcaserin can be decreased when combined with Quazepam.,73,Type_73,No
DB00613,Amodiaquine,DB01103,Quinacrine,0.8110987544059753,47,Type_47,The metabolism of Quinacrine can be decreased when combined with Amodiaquine.,75,Type_75,No
DB00278,Argatroban,DB00705,Delavirdine,0.7535884976387024,47,Type_47,The metabolism of Delavirdine can be decreased when combined with Argatroban.,75,Type_75,No
DB00980,Ramelteon,DB01205,Flumazenil,0.9853870868682861,49,Type_49,The risk or severity of adverse effects can be increased when Ramelteon is combined with Flumazenil.,76,Type_76,No
DB08881,Vemurafenib,DB09389,Norgestrel,0.707744836807251,73,Type_73,The serum concentration of Norgestrel can be increased when it is combined with Vemurafenib.,75,Type_75,No
DB05521,Telaprevir,DB08875,Cabozantinib,0.7602547407150269,47,Type_47,The metabolism of Cabozantinib can be decreased when combined with Telaprevir.,73,Type_73,No
DB09079,Nintedanib,DB11268,Protocatechualdehyde,0.7872005105018616,12,Type_12,Nintedanib may decrease the anticoagulant activities of Protocatechualdehyde.,49,Type_49,No
DB06209,Prasugrel,DB09543,Methyl salicylate,0.8638432621955872,6,Type_6,Prasugrel may increase the anticoagulant activities of Methyl salicylate.,49,Type_49,No
DB00220,Nelfinavir,DB01194,Brinzolamide,0.7901333570480347,47,Type_47,The metabolism of Brinzolamide can be decreased when combined with Nelfinavir.,73,Type_73,No
DB00751,Epinastine,DB01167,Itraconazole,0.886639416217804,47,Type_47,The metabolism of Itraconazole can be decreased when combined with Epinastine.,75,Type_75,No
DB01580,Oxprenolol,DB01614,Acepromazine,0.7530196905136108,60,Type_60,Oxprenolol may increase the hypotensive activities of Acepromazine.,49,Type_49,No
DB00528,Lercanidipine,DB01162,Terazosin,0.9780514240264893,49,Type_49,The risk or severity of adverse effects can be increased when Lercanidipine is combined with Terazosin.,60,Type_60,No
DB04868,Nilotinib,DB08815,Lurasidone,0.8325971961021423,20,Type_20,Nilotinib may increase the QTc-prolonging activities of Lurasidone.,73,Type_73,No
DB00912,Repaglinide,DB08881,Vemurafenib,0.7669098377227783,73,Type_73,The serum concentration of Vemurafenib can be increased when it is combined with Repaglinide.,75,Type_75,No
DB00320,Dihydroergotamine,DB01321,Josamycin,0.853201150894165,47,Type_47,The metabolism of Josamycin can be decreased when combined with Dihydroergotamine.,73,Type_73,No
DB00531,Cyclophosphamide,DB01015,Sulfamethoxazole,0.7323788404464722,49,Type_49,The risk or severity of adverse effects can be increased when Cyclophosphamide is combined with Sulfamethoxazole.,47,Type_47,No
DB00250,Dapsone,DB00359,Sulfadiazine,0.9767757654190063,47,Type_47,The metabolism of Sulfadiazine can be decreased when combined with Dapsone.,49,Type_49,No
DB08865,Crizotinib,DB09054,Idelalisib,0.7684672474861145,47,Type_47,The metabolism of Idelalisib can be decreased when combined with Crizotinib.,73,Type_73,No
DB00281,Lidocaine,DB00934,Maprotiline,0.7032049894332886,49,Type_49,The risk or severity of adverse effects can be increased when Lidocaine is combined with Maprotiline.,47,Type_47,No
DB01235,Levodopa,DB09242,Moxonidine,0.8235134482383728,49,Type_49,The risk or severity of adverse effects can be increased when Levodopa is combined with Moxonidine.,30,Type_30,No
DB00490,Buspirone,DB01392,Yohimbine,0.9026296734809875,47,Type_47,The metabolism of Yohimbine can be decreased when combined with Buspirone.,70,Type_70,No
DB00285,Venlafaxine,DB01264,Darunavir,0.7638682723045349,47,Type_47,The metabolism of Darunavir can be decreased when combined with Venlafaxine.,73,Type_73,No
DB00774,Hydroflumethiazide,DB00966,Telmisartan,0.8918682932853699,49,Type_49,The risk or severity of adverse effects can be increased when Hydroflumethiazide is combined with Telmisartan.,60,Type_60,No
