Drug1_ID,Drug1_Name,Drug2_ID,Drug2_Name,Prediction_Score,Predicted_Type_Index,Predicted_Type_Name,Interaction_Translation,True_Type_Index,True_Type_Name,Match
DB00762,Irinotecan,DB08896,Regorafenib,0.4803900718688965,47,Type_47,The metabolism of Regorafenib can be decreased when combined with Irinotecan.,77,Type_77,No
DB00191,Phentermine,DB01142,Doxepin,0.42233020067214966,76,Type_76,Phentermine may decrease the sedative activities of Doxepin.,76,Type_76,Yes
DB00679,Thioridazine,DB09242,Moxonidine,0.38952746987342834,49,Type_49,The risk or severity of adverse effects can be increased when Thioridazine is combined with Moxonidine.,49,Type_49,Yes
DB00541,Vincristine,DB13179,Troleandomycin,0.4993850886821747,73,Type_73,The serum concentration of Troleandomycin can be increased when it is combined with Vincristine.,73,Type_73,Yes
DB00371,Meprobamate,DB09280,Lumacaftor,0.46178555488586426,75,Type_75,The serum concentration of Lumacaftor can be decreased when it is combined with Meprobamate.,75,Type_75,Yes
DB00334,Olanzapine,DB01416,Cefpodoxime,0.3838789761066437,75,Type_75,The serum concentration of Cefpodoxime can be decreased when it is combined with Olanzapine.,67,Type_67,No
DB01018,Guanfacine,DB01171,Moclobemide,0.4840031564235687,49,Type_49,The risk or severity of adverse effects can be increased when Guanfacine is combined with Moclobemide.,47,Type_47,No
DB00651,Dyphylline,DB01032,Probenecid,0.49464496970176697,73,Type_73,The serum concentration of Probenecid can be increased when it is combined with Dyphylline.,73,Type_73,Yes
DB00696,Ergotamine,DB04876,Vildagliptin,0.41538792848587036,49,Type_49,The risk or severity of adverse effects can be increased when Ergotamine is combined with Vildagliptin.,73,Type_73,No
DB00255,Diethylstilbestrol,DB09119,Eslicarbazepine acetate,0.47335803508758545,47,Type_47,The metabolism of Eslicarbazepine acetate can be decreased when combined with Diethylstilbestrol.,75,Type_75,No
DB00455,Loratadine,DB06335,Saxagliptin,0.4838241636753082,73,Type_73,The serum concentration of Saxagliptin can be increased when it is combined with Loratadine.,75,Type_75,No
DB00404,Alprazolam,DB00584,Enalapril,0.28952986001968384,73,Type_73,The serum concentration of Enalapril can be increased when it is combined with Alprazolam.,73,Type_73,Yes
DB04946,Iloperidone,DB09039,Eliglustat,0.4899516999721527,20,Type_20,Iloperidone may increase the QTc-prolonging activities of Eliglustat.,47,Type_47,No
DB00726,Trimipramine,DB05265,Ecabet,0.4659937918186188,73,Type_73,The serum concentration of Ecabet can be increased when it is combined with Trimipramine.,73,Type_73,Yes
DB01251,Gliquidone,DB01590,Everolimus,0.3625134527683258,70,Type_70,The therapeutic efficacy of Everolimus can be decreased when used in combination with Gliquidone.,70,Type_70,Yes
DB00361,Vinorelbine,DB00951,Isoniazid,0.402056485414505,47,Type_47,The metabolism of Isoniazid can be decreased when combined with Vinorelbine.,47,Type_47,Yes
DB01263,Posaconazole,DB06203,Alogliptin,0.48231440782546997,73,Type_73,The serum concentration of Alogliptin can be increased when it is combined with Posaconazole.,47,Type_47,No
DB00615,Rifabutin,DB06176,Romidepsin,0.4853314161300659,75,Type_75,The serum concentration of Romidepsin can be decreased when it is combined with Rifabutin.,75,Type_75,Yes
DB01220,Rifaximin,DB01253,Ergometrine,0.4290081262588501,73,Type_73,The serum concentration of Ergometrine can be increased when it is combined with Rifaximin.,73,Type_73,Yes
DB00182,Amphetamine,DB00501,Cimetidine,0.4568818211555481,47,Type_47,The metabolism of Cimetidine can be decreased when combined with Amphetamine.,47,Type_47,Yes
DB00188,Bortezomib,DB00637,Astemizole,0.33724507689476013,20,Type_20,Bortezomib may increase the QTc-prolonging activities of Astemizole.,47,Type_47,No
DB00420,Promazine,DB00575,Clonidine,0.44378209114074707,49,Type_49,The risk or severity of adverse effects can be increased when Promazine is combined with Clonidine.,47,Type_47,No
DB00188,Bortezomib,DB00321,Amitriptyline,0.4740275740623474,20,Type_20,Bortezomib may increase the QTc-prolonging activities of Amitriptyline.,47,Type_47,No
DB01153,Sertaconazole,DB01268,Sunitinib,0.4493236243724823,73,Type_73,The serum concentration of Sunitinib can be increased when it is combined with Sertaconazole.,47,Type_47,No
DB00335,Atenolol,DB01403,Methotrimeprazine,0.31085118651390076,47,Type_47,The metabolism of Methotrimeprazine can be decreased when combined with Atenolol.,60,Type_60,No
DB00243,Ranolazine,DB00528,Lercanidipine,0.4642869830131531,73,Type_73,The serum concentration of Lercanidipine can be increased when it is combined with Ranolazine.,47,Type_47,No
DB00313,Valproic acid,DB09053,Ibrutinib,0.418425053358078,73,Type_73,The serum concentration of Ibrutinib can be increased when it is combined with Valproic acid.,73,Type_73,Yes
DB00490,Buspirone,DB01233,Metoclopramide,0.45725348591804504,64,Type_64,Buspirone may increase the serotonergic activities of Metoclopramide.,49,Type_49,No
DB00178,Ramipril,DB00390,Digoxin,0.35750651359558105,73,Type_73,The serum concentration of Digoxin can be increased when it is combined with Ramipril.,73,Type_73,Yes
DB06605,Apixaban,DB06717,Fosaprepitant,0.31945401430130005,73,Type_73,The serum concentration of Fosaprepitant can be increased when it is combined with Apixaban.,73,Type_73,Yes
DB00333,Methadone,DB00980,Ramelteon,0.3897899091243744,49,Type_49,The risk or severity of adverse effects can be increased when Methadone is combined with Ramelteon.,49,Type_49,Yes
DB06335,Saxagliptin,DB09054,Idelalisib,0.4767022132873535,47,Type_47,The metabolism of Idelalisib can be decreased when combined with Saxagliptin.,73,Type_73,No
DB00315,Zolmitriptan,DB08881,Vemurafenib,0.40757909417152405,33,Type_33,The risk or severity of QTc prolongation can be increased when Zolmitriptan is combined with Vemurafenib.,73,Type_73,No
DB00641,Simvastatin,DB01029,Irbesartan,0.3580513894557953,47,Type_47,The metabolism of Irbesartan can be decreased when combined with Simvastatin.,47,Type_47,Yes
DB00622,Nicardipine,DB01624,Zuclopenthixol,0.4888342022895813,20,Type_20,Nicardipine may increase the QTc-prolonging activities of Zuclopenthixol.,20,Type_20,Yes
DB01197,Captopril,DB09026,Aliskiren,0.47893819212913513,49,Type_49,The risk or severity of adverse effects can be increased when Captopril is combined with Aliskiren.,68,Type_68,No
DB01242,Clomipramine,DB09242,Moxonidine,0.439333438873291,70,Type_70,The therapeutic efficacy of Moxonidine can be decreased when used in combination with Clomipramine.,70,Type_70,Yes
DB00238,Nevirapine,DB01223,Aminophylline,0.3788515627384186,4,Type_4,The metabolism of Aminophylline can be increased when combined with Nevirapine.,4,Type_4,Yes
DB00215,Citalopram,DB06708,Lumefantrine,0.4551653265953064,20,Type_20,Citalopram may increase the QTc-prolonging activities of Lumefantrine.,47,Type_47,No
DB00417,Phenoxymethylpenicillin,DB13783,Acemetacin,0.3733757734298706,70,Type_70,The therapeutic efficacy of Acemetacin can be decreased when used in combination with Phenoxymethylpenicillin.,72,Type_72,No
DB00521,Carteolol,DB01118,Amiodarone,0.44555148482322693,54,Type_54,Carteolol may increase the bradycardic activities of Amiodarone.,54,Type_54,Yes
DB00185,Cevimeline,DB00843,Donepezil,0.3125832676887512,75,Type_75,The serum concentration of Donepezil can be decreased when it is combined with Cevimeline.,49,Type_49,No
DB00614,Furazolidone,DB01171,Moclobemide,0.4323519170284271,49,Type_49,The risk or severity of adverse effects can be increased when Furazolidone is combined with Moclobemide.,49,Type_49,Yes
DB00619,Imatinib,DB01098,Rosuvastatin,0.4808599054813385,47,Type_47,The metabolism of Rosuvastatin can be decreased when combined with Imatinib.,47,Type_47,Yes
DB00396,Progesterone,DB00569,Fondaparinux,0.4270540475845337,75,Type_75,The serum concentration of Fondaparinux can be decreased when it is combined with Progesterone.,70,Type_70,No
DB01074,Perhexiline,DB01095,Fluvastatin,0.46300050616264343,73,Type_73,The serum concentration of Fluvastatin can be increased when it is combined with Perhexiline.,49,Type_49,No
DB00526,Oxaliplatin,DB08880,Teriflunomide,0.3631505072116852,75,Type_75,The serum concentration of Teriflunomide can be decreased when it is combined with Oxaliplatin.,75,Type_75,Yes
DB00451,Levothyroxine,DB08918,Levomilnacipran,0.4389066994190216,70,Type_70,The therapeutic efficacy of Levomilnacipran can be decreased when used in combination with Levothyroxine.,70,Type_70,Yes
DB00175,Pravastatin,DB00448,Lansoprazole,0.4093947112560272,73,Type_73,The serum concentration of Lansoprazole can be increased when it is combined with Pravastatin.,73,Type_73,Yes
DB00224,Indinavir,DB01357,Mestranol,0.3807452321052551,47,Type_47,The metabolism of Mestranol can be decreased when combined with Indinavir.,75,Type_75,No
DB00700,Eplerenone,DB01242,Clomipramine,0.41841182112693787,49,Type_49,The risk or severity of adverse effects can be increased when Eplerenone is combined with Clomipramine.,49,Type_49,Yes
DB00568,Cinnarizine,DB00997,Doxorubicin,0.49698272347450256,73,Type_73,The serum concentration of Doxorubicin can be increased when it is combined with Cinnarizine.,47,Type_47,No
DB01609,Deferasirox,DB04552,Niflumic acid,0.44659456610679626,49,Type_49,The risk or severity of adverse effects can be increased when Deferasirox is combined with Niflumic acid.,49,Type_49,Yes
DB00875,Flupentixol,DB01320,Fosphenytoin,0.33660057187080383,49,Type_49,The risk or severity of adverse effects can be increased when Flupentixol is combined with Fosphenytoin.,49,Type_49,Yes
DB00321,Amitriptyline,DB06697,Artemether,0.4504290223121643,47,Type_47,The metabolism of Artemether can be decreased when combined with Amitriptyline.,20,Type_20,No
DB00489,Sotalol,DB01072,Atazanavir,0.4540463387966156,47,Type_47,The metabolism of Atazanavir can be decreased when combined with Sotalol.,20,Type_20,No
DB00393,Nimodipine,DB00571,Propranolol,0.4981444478034973,49,Type_49,The risk or severity of adverse effects can be increased when Nimodipine is combined with Propranolol.,49,Type_49,Yes
DB00615,Rifabutin,DB09227,Barnidipine,0.32454490661621094,4,Type_4,The metabolism of Barnidipine can be increased when combined with Rifabutin.,75,Type_75,No
DB00091,Cyclosporine,DB00474,Methohexital,0.46503746509552,47,Type_47,The metabolism of Methohexital can be decreased when combined with Cyclosporine.,4,Type_4,No
DB00458,Imipramine,DB06292,Dapagliflozin,0.41091030836105347,47,Type_47,The metabolism of Dapagliflozin can be decreased when combined with Imipramine.,49,Type_49,No
DB00254,Doxycycline,DB00948,Mezlocillin,0.2905817925930023,70,Type_70,The therapeutic efficacy of Mezlocillin can be decreased when used in combination with Doxycycline.,70,Type_70,Yes
DB01397,Magnesium salicylate,DB01580,Oxprenolol,0.35966062545776367,70,Type_70,The therapeutic efficacy of Oxprenolol can be decreased when used in combination with Magnesium salicylate.,37,Type_37,No
DB00521,Carteolol,DB03128,Acetylcholine,0.4448844790458679,49,Type_49,The risk or severity of adverse effects can be increased when Carteolol is combined with Acetylcholine.,49,Type_49,Yes
DB00188,Bortezomib,DB05294,Vandetanib,0.4336971342563629,20,Type_20,Bortezomib may increase the QTc-prolonging activities of Vandetanib.,20,Type_20,Yes
DB00277,Theophylline,DB01095,Fluvastatin,0.44010382890701294,73,Type_73,The serum concentration of Fluvastatin can be increased when it is combined with Theophylline.,47,Type_47,No
DB09065,Cobicistat,DB09570,Ixazomib,0.48590484261512756,73,Type_73,The serum concentration of Ixazomib can be increased when it is combined with Cobicistat.,73,Type_73,Yes
DB00588,Fluticasone propionate,DB01017,Minocycline,0.4896775782108307,49,Type_49,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Minocycline.,16,Type_16,No
DB00268,Ropinirole,DB00696,Ergotamine,0.36428430676460266,19,Type_19,Ropinirole may increase the vasoconstricting activities of Ergotamine.,47,Type_47,No
DB00215,Citalopram,DB01623,Thiothixene,0.3761482834815979,20,Type_20,Citalopram may increase the QTc-prolonging activities of Thiothixene.,20,Type_20,Yes
DB00220,Nelfinavir,DB00615,Rifabutin,0.32533296942710876,75,Type_75,The serum concentration of Rifabutin can be decreased when it is combined with Nelfinavir.,77,Type_77,No
DB00861,Diflunisal,DB00975,Dipyridamole,0.4914630055427551,49,Type_49,The risk or severity of adverse effects can be increased when Diflunisal is combined with Dipyridamole.,49,Type_49,Yes
DB00726,Trimipramine,DB06216,Asenapine,0.4840426445007324,20,Type_20,Trimipramine may increase the QTc-prolonging activities of Asenapine.,20,Type_20,Yes
DB00829,Diazepam,DB06148,Mianserin,0.455835223197937,70,Type_70,The therapeutic efficacy of Mianserin can be decreased when used in combination with Diazepam.,70,Type_70,Yes
DB00564,Carbamazepine,DB01319,Fosamprenavir,0.4622901380062103,4,Type_4,The metabolism of Fosamprenavir can be increased when combined with Carbamazepine.,4,Type_4,Yes
