"Drug_ID","Interaction_Types"
"DB00006","12;4;47;49;6;66;70;73;75"
"DB00014","15;20;49;58;70"
"DB00027","70;73;77"
"DB00035","49;70"
"DB00080","49;70"
"DB00091","11;13;18;21;34;35;4;42;47;49;57;67;68;70;72;73;75;77;80"
"DB00104","15;20;25;47;49;54;58;70;73;75;9"
"DB00115","70;75"
"DB00120","34;49"
"DB00122","70;73"
"DB00126","18;49;70;73;75"
"DB00130","70"
"DB00134","70"
"DB00136","4;47;70;73;75"
"DB00140","1"
"DB00142","75"
"DB00146","49;51;73;75;82"
"DB00150","33;49;64"
"DB00152","75"
"DB00153","4;47;49;51;73;75;82"
"DB00158","47;70;73;75"
"DB00162","15;49;58;75"
"DB00163","49;53;6;75"
"DB00165","4;70"
"DB00166","67;70;9"
"DB00169","11;4;47;70;73;75;77"
"DB00170","11;47;73;75;81"
"DB00175","4;47;48;49;6;73;75;77"
"DB00176","11;16;27;32;45;47;49;53;55;6;64;66;70;73;75;77;8;9"
"DB00177","10;30;37;4;47;49;57;60;68;70;73;75;82"
"DB00178","10;30;37;4;47;49;57;60;63;68;70;73;75;82;86"
"DB00179","15;27;29;37;49;57;58;6;66;67;68;70;72;73"
"DB00180","22;3;4;47;49;6;67;70;73;74;75;83"
"DB00181","16;32;49;60;8"
"DB00182","11;18;2;23;27;30;31;41;45;47;49;60;61;64;69;70;71;72;73;75;76;77;8;85;9"
"DB00184","11;25;4;47;49;73;75"
"DB00185","4;47;49;73;75"
"DB00186","16;32;49;70;73;75"
"DB00187","14;19;25;30;37;46;47;49;54;60;73;75;9"
"DB00188","11;15;20;30;4;47;49;58;60;70;73;75;77"
"DB00189","16;32;49;8"
"DB00190","70"
"DB00191","23;45;49;61;64;69;70;71;72;73;75;76;77;85"
"DB00193","16;27;32;39;4;47;49;52;54;6;60;64;65;69;70;73;75;77;8"
"DB00195","10;11;14;19;25;30;37;46;47;49;54;60;70;73;75;77;9"
"DB00196","11;13;20;33;47;49;67;70;73;75;77"
"DB00198","77"
"DB00199","11;20;26;33;4;47;49;70;73;75;77;82"
"DB00201","4;47;49;70;73;75;77"
